incidentid,age,gender,race,schoolaffiliation,shooteroutcome,shooterdied,injury,chargesfiled,verdict,minorchargedadult,criminalhistory
19710205PAJOW,14,Male,,Student,Unknown,No,None,"Atrocious assault and battery, unlawful use of a pistol, possession of a knife",,No,
19710210TXOAD,17,Male,,Student,Unknown,No,None,Four teens charged with assault-to-murder charges,,,
19710225OHFRC,Teen,Male,,Student,Fled/Apprehended,No,None,,,,
19710309AZROT,13,Male,,Student,Unknown,No,None,,,No,
19710405PAWIH,17,Male,,Student,Unknown,No,None,,Declared a delinquent and committed for an indeterminate term,No,
19710527MIBES,17,Male,,Student,Unknown,No,None,assault with intent to do great bodily harm,"Plead to assault and battery, served 7 days +time served",No,
19710602NYEAE,13,Male,,Student,Suicide,Yes,Suicide,N/A,,N/A,
19710820PAMOM,72,Male,White,Security Guard,Surrendered,No,None,"Aggravated assault and battery, discharging a firearm in the city limits",,N/A,
19710909TXDUL,15,Male,White,Student,Fled/Apprehended,No,None,,,,
19710924NYMCB,Teen,,,Student,Unknown,No,None,,,,
19710928MNCEM,18,Male,,No Relation,Fled/Apprehended,No,None,,,,
19710929VAPEP,14,Male,Black,Student,Subdued by Students/Staff/Other,No,None,,,,
19711028MDCIB,,Male,,Student,Fled/Escaped,No,None,,,,
19711029MDFOB,17,Male,,Former Student,Fled/Escaped,No,None,,,,
19711029MDFRB,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19711029MDFRB,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19711103NMCAC,22,Male,,Former Student,Suicide,Yes,Suicide,N/A,,N/A,
19711108OKGRT,63,Male,,Other Staff,Unknown,No,None,Murder,,N/A,
19711124MDEDB,17,Male,,Student,Fled/Apprehended,No,None,Y,Manslaughter,No,
19711206CALOL,14,Male,Hispanic,Student,Fled/Apprehended,No,None,,,,
19711206CALOL,14,Male,Hispanic,Student,Fled/Apprehended,No,None,,,,
19711213MDCAB,17,Male,,Student,Fled/Apprehended,No,None,,,,
19720105DCPAW,61,Male,,Teacher,Subdued by Students/Staff/Other,No,None,,,,
19720124OHSTS,16,Male,White,Student,Surrendered,No,None,,,,
19720126MDGWB,Teen,Male,,Student,Unknown,No,None,,,,
19720126MDHAB,17,Male,,Student,Fled/Apprehended,No,None,,,,
19720214ILCAC,,Male,,Student,Fled/Escaped,No,None,,,,
19720215ILKEC,21,Male,,Nonstudent,Apprehended/Killed by LE,Yes,Fatal,N/A,N/A,N/A,
19720228CAMAL,14,Male,,Student,Unknown,No,None,Suspicion of Assault,,,
19720313TXUNH,15,Male,,Student,Surrendered,No,None,,,,
19720412LAEAG,28,Male,,Teacher,Suicide,Yes,Suicide,N/A,,N/A,
19720504NVLIR,53,Male,White,Teacher,Fled/Escaped,No,None,,,,
19720505INDEI,16,Female,White,Student,Surrendered,No,None,,Insanity,N/A,
19720914TXFRH,16,Male,,Student,Fled/Apprehended,No,None,,,,
19720915MISAS,17,Male,,Student,Fled/Apprehended,No,None,,,,
19720919TXCUH,33,Male,,Teacher,Fled/Apprehended,No,None,Assult with intent to murder,,N/A,
19720921OHTHA,18,Male,,Former Student,Fled/Apprehended,No,None,"Attempted armed robbery, assault with deadly weapon",,,
19721111CAJEL,Teen,Male,,Other Student,Fled/Apprehended,No,None,,,,
19721111CAJEL,Teen,Male,,Other Student,Fled/Apprehended,No,None,,,,
19721127MIPOP,16,Male,Black,Student,Fled/Apprehended,No,None,,,,
19721129FLMIM,Teen,Male,,Unknown,Fled/Escaped,No,None,,,,
19730105NCSOS,Teen,Male,Black,Student,Fled/Apprehended,No,None,,,,
19730118CAJOL,19,Male,,Unknown,Fled/Apprehended,No,None,Attemted murder,,N/A,
19730118CAJOL,18,Male,,Unknown,Fled/Apprehended,No,None,Attemted murder,,N/A,
19730131NCCUB,17,Male,,Student,Fled/Apprehended,No,None,,,,
19730212ALBOM,19,Male,,No Relation,Fled/Apprehended,No,None,"Intent to murder, possession of weapon by felon",,N/A,Ex-felon
19730226VAARR,18,Male,Black,Student,Fled/Apprehended,No,None,Murder,20 years for Dance,,
19730405CALOL,,Male,,Student,Fled/Escaped,No,None,,,,
19730501OHRAY,15,Male,,Student,Fled/Apprehended,No,None,,,,
19730928CAWIL,16,Male,,Student,Apprehended/Killed by SRO,No,Wounded,,,,
19731002ILELA,17,Male,,Student,Suicide,Yes,Suicide,,,,
19731019MOBES,14,Male,,Student,Fled/Apprehended,No,None,,,,
19731023MOSUS,14,Male,,Unknown,Fled/Apprehended,No,None,Assault with intent to kill,,,
19731023MOSUS,Teen,Male,,Unknown,Fled/Apprehended,No,None,Assault with intent to kill,,,
19731023OHBAB,17,Male,White,Student,Fled/Apprehended,No,None,,,,
19731024MNCEM,17,Male,,Student,Fled/Apprehended,No,None,,,Yes,
19731031MONOS,18,Male,,No Relation,Fled/Apprehended,No,None,,,,
19731108ILWOC,16,Male,,Student,Fled/Apprehended,No,None,,,,
19731109CALOL,Teen,Male,,Unknown,Fled/Apprehended,No,None,,,,
19731206CAFRL,,,,Student,Fled/Apprehended,No,None,,,,
19731213OHHUC,16,Male,,Student,Fled/Apprehended,No,None,,,,Robbery
19740117ILBAC,14,Male,,Former Student,Subdued by Students/Staff/Other,No,None,Murder,,,
19740122CALOL,15,Male,,No Relation,Fled/Apprehended,No,None,Murder,,Yes,
19740207CAJAO,24,Male,Black,No Relation,Fled/Apprehended,No,None,,,,
19740322INBRB,17,Male,White,Student,Surrendered,No,None,Murder,,,
19740402CTSTB,,,,Unknown,Fled/Escaped,No,None,,,,
19740510TNCHR,20,Male,,Student,Surrendered,No,None,,,,
19740519FLHIO,35,Male,,Intimate Relationship,Fled/Apprehended,No,None,Unknown charge,,N/A,
19740923CAJED,Teen,Male,,Student,Fled/Apprehended,No,None,Three charged with attempted murder,,,
19740923CAJED,Teen,Male,,Student,Fled/Apprehended,No,None,Three charged with attempted murder,,,
19740923CAJED,Teen,Male,,Student,Fled/Apprehended,No,None,Three charged with attempted murder,,,
19740925CASAL,17,Male,,Student,Fled/Apprehended,No,None,,,,
19741007LADEH,17,Male,Black,Student,Apprehended/Killed by LE,No,None,,,,
19741021MDDOB,15,Male,,No Relation,Fled/Apprehended,No,None,,,,
19741118SCCAC,,Male,,No Relation,Fled/Escaped,No,None,,,,
19741121ARBOL,15,Male,,Student,Surrendered,No,None,,,,
19741125SCCAC,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19741125SCCAC,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19741218CAMAL,17,Male,,No Relation,Fled/Escaped,No,None,,,,
19741230NYOLO,17,Male,White,Student,Apprehended/Killed by LE,No,None,,,,No
19750207NYBOM,16,Male,,Student,Attempted Suicide,No,Wounded,,,,
19750224NJSTP,24,Male,,Former Student,Unknown,No,None,Murder,Insanity,N/A,
19750312TXJOH,Teen,,,Student,Fled/Escaped,No,None,,,,
19750318MOSUS,19,Male,,Unknown,Fled/Apprehended,No,None,Murder,,N/A,
19750321OHPAD,15,Male,,No Relation,Fled/Escaped,No,None,,,,
19750321VAFAR,18,Male,,No Relation,Other,No,None,Felonious Assault,,No,
19750515MOROS,13,Male,,Student,Fled/Apprehended,No,None,,,,
19750527MIPID,9,Male,,Student,Fled/Apprehended,No,None,,,No,
19750709ILDEC,Adult,Male,Black,Intimate Relationship,Fled/Apprehended,No,None,,,,
19750711MOCES,18,Male,,Student,Fled/Apprehended,No,None,,,,
19750911OKGRO,15,Male,White,Student,Unknown,No,None,First Degree Murder,,No,
19751001NMHEA,35,Male,,Unknown,Surrendered,No,None,,,,
19751024GAMUA,15,Male,,Student,Fled/Apprehended,No,None,,,,
19751218CAORS,16,Male,,Student,Fled/Escaped,No,None,,,,
19760101AZCAP,,,,Unknown,Fled/Escaped,No,None,,,,
19760123OHCOC,17,Male,,Student,Fled/Apprehended,No,None,Aggravated murder; felony assault,,,
19760206FLESP,,,,Unknown,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,No,None,,,,
19760212MIMUD,Teen,Male,,Other Student,Fled/Escaped,No,None,,,,
19760412TXODF,15,Male,,Student,Fled/Apprehended,No,None,,,,
19760513MOMAS,15,Male,,Student,Subdued by Students/Staff/Other,No,None,,,,
19760514FLPAW,17,Male,,Former Student,Apprehended/Killed by LE,No,None,,,,
19760602MDMTC,,,,Unknown,Fled/Escaped,No,None,,,,
19760920NCGUG,38,Male,,No Relation,Suicide,Yes,Suicide,,,,
19761110MIBUD,46,Male,,Intimate Relationship,Fled/Apprehended,No,None,,,,
19761210MOFRS,11,Male,,Student,Surrendered,No,None,,,,
19770113ILOLB,15,Male,,Student,Subdued by Students/Staff/Other,No,None,,,,
19770209ILFEC,14,Male,,Student,Fled/Apprehended,No,None,"4 counts of murder, various other charges",,No,
19770228MOROS,19,Male,,Student,Unknown,No,None,,"Guilty, assuault with intent to kill, concealed weapon - 3 years",N/A,
19770228TXHOA,15,Male,,Student,Unknown,No,None,,Suspended from school for one year,No,
19770308ILCOE,16,Male,,Student,Fled/Apprehended,No,None,,,,
19770321NYPAH,18,Male,,Other Staff,Apprehended/Killed by LE,No,None,Felony reckless endangerment,,N/A,
19770407TXWHW,17,Male,,Student,Unknown,No,None,,,,
19770418TNPIN,46,Male,,Unknown,Fled/Apprehended,No,None,,,,
19770517FLSTC,22,Male,,No Relation,Fled/Apprehended,No,None,,,,
19770622ILHOC,Teen,,,Unknown,Fled/Escaped,No,None,,,,
19770711COSOC,15,,,Student,Fled/Escaped,No,None,,,,
19771129MOHAS,19,Male,,Former Student,Apprehended/Killed by LE,No,None,,,,
19771129MOVAS,18,Male,,Student,Unknown,No,None,Assault with intent to kill,,,
19771209CAPES,40,Male,,Intimate Relationship,Subdued by Students/Staff/Other,No,None,Murder,,N/A,
19771212FLWEW,41,Male,,Other Staff,Surrendered,No,None,,,,
19771215MABLC,,Male,,Unknown,Fled/Escaped,No,None,,,,
19780111KYCHH,16,Male,,Student,Subdued by Students/Staff/Other,No,None,First degree assault,,No,
19780209WVHAS,15,Male,White,Student,Fled/Apprehended,No,None,charged him with an act of delinquency,"Guilty, served less than one year",No,
19780222MIEVL,15,Male,White,Student,Surrendered,No,None,,,,
19780309CAMOS,14,Male,,No Relation,Surrendered,No,None,"None, accidental",No,No,
19780329TNGAN,Adult,Male,Black,Other Staff,Surrendered,No,None,,,,
19780414MIFOD,16,Male,,Student,Unknown,No,None,,,,
19780426TXPAD,56,Female,,Relative,Surrendered,No,None,,,N/A,
19780428ILRIN,Teen,Male,,Student,Unknown,No,None,,,,
19780518TXMUA,13,Male,White,Student,Fled/Apprehended,No,None,Murder,,No,
19780519PADOP,,,,Unknown,Fled/Escaped,No,None,,,,
19780607DEDOD,17,Male,,Student,Unknown,No,None,2nd degree murder,"Manslaughter, carrying a concealed deadly weapon",Yes,
19780610MAWEW,17,Male,,Student,Attempted Suicide,No,Wounded,,,,
19781017ALLAL,13,Male,White,Student,Fled/Apprehended,No,None,No criminal charges filed,None,No,
19781017MOUNU,Teen,Male,White,Former Student,Fled/Escaped,No,None,,,,
19781129NYPAN,15,Male,,Student,Fled/Apprehended,No,None,,,,
19781214CTWIN,17,Male,,No Relation,Apprehended/Killed by LE,No,None,Murder,,Yes,
19790129CAGRS,16,Female,White,No Relation,Apprehended/Killed by LE,No,None,,,,
19790314FLMCM,Teen,Male,Black,Unknown,Fled/Apprehended,No,None,,,Yes,
19790328CALOL,19,Male,,Unknown,Fled/Apprehended,No,None,,,,
19790416WIWIM,28,Male,,Other Staff,Surrendered,No,None,,,,
19790425PAMAH,,,,Unknown,Unknown,No,None,,,,
19790426TXAZA,14,Male,,Student,Fled/Apprehended,No,None,,,,
19790614OHNEN,13,Male,,Unknown,Fled/Apprehended,No,None,,,,
19790926LACAN,13,Male,,Student,Surrendered,No,None,Attempted murder,,,
19790926LACAN,15,Male,,Student,Surrendered,No,None,Attempted murder,,,
19790928MACHC,Teen,Male,White,Unknown,Fled/Escaped,No,None,,,,
19790928MACHC,Teen,Male,White,Unknown,Fled/Escaped,No,None,,,,
19791023MOOFS,16,Male,,Student,Fled/Apprehended,No,None,2 counts first degree assault,,No,
19791105INWAI,18,Male,,Student,Fled/Apprehended,No,None,,,,
19791130TXUNL,14,Male,,Student,Surrendered,No,None,,,,
19791203MDEAB,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19791203MDEAB,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19791203MDEAB,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19791203MDEAB,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19791221MOBLS,14,Male,,Student,Fled/Apprehended,No,None,,,,
19800107ARSTS,16,Male,White,Student,Surrendered,No,None,,,,
19800129VALAW,17,Male,,Student,Attempted Suicide,No,Wounded,,,,
19800201DCLAW,9,Male,,Student,Surrendered,No,None,,,,
19800207TXVAL,9,Male,,Student,Surrendered,No,None,,,,
19800211INARI,17,Male,,Student,Fled/Apprehended,No,None,,,,
19800211INARI,19,Male,,Student,Fled/Apprehended,No,None,,,,
19800215MSHUM,32,Male,,Intimate Relationship,Fled/Apprehended,No,None,,,,
19800320TXJLD,30,Male,,Unknown,Fled/Apprehended,No,None,,,,
19800331MDFRB,16,Male,Black,Former Student,Fled/Apprehended,No,None,Assault with intent to murder,,No,
19800417VACAC,53,Male,,Intimate Relationship,Surrendered,No,None,,,,
19800530NYCLB,15,Male,,Student,Fled/Apprehended,No,Wounded,,,,
19800902CAWHL,18,Male,White,No Relation,Fled/Apprehended,No,None,,,,
19800908FLFOJ,Teen,Male,,Student,Fled/Apprehended,No,None,,,,
19800910DCSPW,18,Male,,Student,Surrendered,No,None,,,,
19800911ALJOM,29,Female,,Teacher,Surrendered,No,None,Murder,,N/A,
19800926CTBRB,19,Male,,Former Student,Fled/Escaped,No,None,,,N/A,
19801013ALCET,17,Male,,Student,Fled/Apprehended,No,None,,,,
19801031ALHUH,17,Male,,Student,Suicide,Yes,Suicide,N/A,,,
19801117TXEAF,16,Male,,Student,Subdued by Students/Staff/Other,No,None,,,,
19801212ALPAB,15,Male,,No Relation,Fled/Apprehended,No,None,,,,
19801212OHLOL,14,Male,,Student,Surrendered,No,None,,,,
19810121OHWIB,14,Male,White,Student,Fled/Apprehended,No,None,,,,
19810122MDFRB,17,Male,,Student,Fled/Apprehended,No,None,,,,
19810210ARLIL,16,Male,,Student,Fled/Apprehended,No,None,,,,
19810210CAMAL,19,Male,,Unknown,Fled/Apprehended,No,None,,,,
19810303INMAI,15,Male,,Student,Fled/Apprehended,No,None,Aggrevated assault,,No,
19810328FLDIF,18,Male,,Student,Fled/Apprehended,No,None,,,,
19810402OHALC,14,Male,,Student,Fled/Apprehended,No,None,,,,
19810407MSPOP,,,,Unknown,Fled/Escaped,No,None,,,,
19810515LANEN,42,Male,,Other Staff,Surrendered,No,None,,,,
19810901PAWIP,,Male,,Unknown,Fled/Escaped,No,None,,,,
19810904NMHOS,16,Male,,Student,Fled/Apprehended,No,None,,,,
19810908FLSTW,12,Male,,Student,Fled/Apprehended,No,Wounded,"Shot self by accident, unknown charges",,,
19810913MDABA,Adult,,,Police Officer/SRO,Law Enforcement,No,None,,,,
19811013CTHAH,16,Male,,Student,Fled/Apprehended,No,None,First degree assault,,,
19811209NYGEB,,Male,,Unknown,Fled/Escaped,No,None,,,,
19811216TXUNH,17,Male,,Student,Fled/Apprehended,No,None,,,,
19811223NYJAB,Teen,Male,,Student,Fled/Escaped,No,None,,,,
19820205TNHAM,,Male,,Unknown,Fled/Escaped,No,None,,,,
19820208MADOD,19,Male,Black,Student,Fled/Apprehended,No,None,,,,
19820209LAJON,16,Male,,Former Student,Fled/Apprehended,No,Wounded,,,,
19820209LAJON,15,Male,,Former Student,Fled/Apprehended,No,Wounded,,,,
19820315ORSPS,14,Male,,Student,Suicide,Yes,Suicide,,,,
19820317OHLOL,17,Male,,Student,Attempted Suicide,No,Wounded,,,,
19820319NVVAL,17,Male,Black,Student,Fled/Apprehended,No,None,"Lizotte was charged with murdering Piggott, a psychology teacher at Valley High School for 17 years. The suspect, a senior at the high school, also was charged with two counts of attempted murder in the shooting of junior Martin Jameson, 16, and senior Jo",,,
19820407CODEL,14,Male,White,Student,Unknown,No,None,,Was tried as an adult - pled to 12 years - served 6 in mental health treatment facility,Yes,
19820415MDFOB,Teen,Male,,Unknown,Fled/Apprehended,No,None,,,,
19820429GARUE,16,Male,White,Student,Surrendered,No,Wounded,,,,
19820430FLANA,19,Male,,Student,Fled/Apprehended,No,None,,,,
19820527NVGAL,Teen,Male,,Unknown,Fled/Escaped,No,None,,,,
19820527NVGAL,Teen,Male,,Unknown,Fled/Escaped,No,None,,,,
19820527NVGAL,Teen,Male,,Unknown,Fled/Escaped,No,None,,,,
19820910VALAB,18,Male,,Former Student,Surrendered,No,None,,,,
19820915ARSOP,12,Male,,Student,Attempted Suicide,No,Wounded,,,,
19821101NYELE,16,Male,,Student,Fled/Escaped,No,None,,,,
19821108MICOD,15,Male,,Student,Surrendered,No,None,,,,
19821112MSWIJ,20,Male,,Intimate Relationship,Suicide,Yes,Suicide,N/A,,N/A,
19821206ALHUH,17,Male,,Student,Suicide,Yes,Suicide,,,,
19821220MIFID,Adult,Male,,Unknown,Fled/Escaped,No,None,,,,
19830118TXJOH,21,Male,,Student,Suicide,Yes,Suicide,,,,
19830120MOPAB,14,Male,White,Student,Suicide,Yes,Suicide,N/A,,,
19830128MDWIB,14,Male,,Student,Surrendered,No,Wounded,,,,
19830130TXWEC,,Male,,Unknown,Fled/Apprehended,No,None,,,,
19830131FLDED,16,Female,,Student,Attempted Suicide,No,Wounded,No charges filed,,No,
19830201TNRIM,16,Male,,Student,Surrendered,No,Wounded,,,,
19830202NMALA,,Male,,Unknown,Fled/Escaped,No,None,No suspect to charge,No Suspect,No Suspect,
19830331ILSAC,11,Male,,Student,Surrendered,No,None,,,,
19830421MOBES,Adult,Male,,Unknown,Fled/Escaped,No,None,,,,
19830516NYBRN,24,Male,,Former Teacher,Suicide,Yes,Suicide,,,,
19830516TXLAD,41,Male,,No Relation,Fled/Apprehended,No,None,Murder,Death penalty,N/A,Served jail time for armed robbery
19830518FLNOM,22,Male,Black,No Relation,Fled/Apprehended,No,None,,,,
19830523OHMAM,15,Male,,Student,Fled/Apprehended,No,None,,,,
19830526PAGRJ,17,Male,,Student,Suicide,Yes,Suicide,N/A,,,
19830912CAMAC,Teen,Male,,Student,Fled/Apprehended,No,None,,,,
19830912CAMAC,Teen,Male,,Student,Fled/Apprehended,No,None,,,,
19830912MIHED,16,Male,Black,Student,Fled/Escaped,No,None,,,,
19830921MDWAB,18,Male,,Student,Surrendered,No,Wounded,,,,
19830930TXTET,20,Male,,Former Student,Fled/Apprehended,No,None,,,,
19831007CACOL,,Male,,Gang Member,Fled/Escaped,No,None,,,,
19831022MDCAB,18,Male,,Unknown,Fled/Apprehended,No,None,Attempted murder,,N/A,
19831108MIHIH,15,Male,,Student,Surrendered,No,None,,,,
19831117ILJAC,14,Male,,Gang Member,Fled/Apprehended,No,None,,,,
19831118MDHAB,17,Male,Black,Student,Fled/Apprehended,No,None,,,,
19831202INCRC,17,Male,,Student,Fled/Apprehended,No,None,,,,
19831216ILBOR,15,Male,,Student,Fled/Apprehended,No,None,,,,
19840105MDLAB,,Male,,Unknown,Fled/Escaped,No,None,,,,
19840206KYCEL,16,Male,,Student,Fled/Apprehended,No,None,,,,
19840221TXSHH,16,Male,,Student,Surrendered,No,None,,,,
19840224CA49L,28,Male,Black,Former Student,Suicide,Yes,Suicide,Killed,,,
19840405LACLC,17,Male,Black,Student,Unknown,No,None,Attempted murder,,,
19840420MIPRD,13,,,Student,Unknown,No,None,Reckless use of a firearm,,No,
19840426NCROW,11,Male,,Student,Attempted Suicide,No,Wounded,,,,
19840515MTCMG,18,Male,,Student,Attempted Suicide,No,Wounded,,,,
19840517IASOP,17,Male,,Student,Suicide,Yes,Suicide,N/A,,,
19840517TXBOH,18,Male,,Student,Suicide,Yes,Suicide,,,,
19840518CANON,17,Male,,Student,Subdued by Students/Staff/Other,No,None,,,,
19840522OHCLC,18,Male,,Student,Surrendered,No,None,,,,
19840710MIMUD,Adult,Male,,No Relation,Fled/Escaped,No,None,,,N/A,
19840831LABOS,,Male,,Gang Member,Fled/Escaped,No,None,,,,
19840928TXMIH,,,,Unknown,Fled/Escaped,No,None,,,,
19840928TXRIN,21,Male,White,Former Student,Surrendered,No,None,,,,
19841021PAWYE,,Male,,Unknown,Unknown,No,None,,,,
19841022MICED,16,Male,Black,Student,Fled/Apprehended,No,None,,,,
19841024MISOD,17,Male,,Student,Surrendered,No,None,,,,
19841024OHWEC,45,Female,White,Parent,Fled/Apprehended,No,None,,Not guilty by insanity,N/A,
19841030SCPEP,21,Male,,Intimate Relationship,Apprehended/Killed by LE,No,None,,,,
19841031LAEAG,16,Male,White,Student,Unknown,No,None,Second degree murder,Pleaded to manslaughter - 7 years reduced to 5 year probation,,
19841109CTWIN,16,Male,,Student,Fled/Apprehended,No,None,,,,
19841126MDMIR,16,Male,,Unknown,Fled/Apprehended,No,None,,,,
19841207MOEDS,17,Male,White,Student,Surrendered,No,None,,,,
19850118TXARA,17,Male,White,Student,Suicide,Yes,Suicide,,,,
19850121KSGOG,14,Male,White,Student,Fled/Apprehended,No,None,,,,
19850126MASTB,16,Male,,Student,Fled/Apprehended,No,None,,,,
19850205CTAIH,18,Male,,Intimate Relationship,Fled/Escaped,No,None,,,,
19850416TXMAA,31,Male,,Police Officer/SRO,Surrendered,No,None,Aggravated assault,,N/A,
19850516FLPAB,15,Female,,Student,Attempted Suicide,No,Wounded,,,,
19850724TXHIH,65,Female,,No Relation,Surrendered,No,None,,Aggravated assault,N/A,
19850904VAEAR,12,Male,,Student,Fled/Apprehended,No,None,aggravated assault and using a gun in a felony.,,N/A,
19850909TXWHH,18,Male,,No Relation,Fled/Apprehended,No,None,,,,
19850920TXLAC,16,Male,,Student,Unknown,No,None,,,,
19850925OHTRT,16,Male,,Student,Fled/Apprehended,No,None,,,,
19851008MDLAB,18,Male,,Student,Fled/Apprehended,No,None,,,,
19851008MDLAB,22,Male,,Relative,Fled/Apprehended,No,None,"2nd degree murder, handgun charge",7 years,,
19851008MDLAB,19,Male,,Former Student,Fled/Apprehended,No,None,,30 years,,
19851018MIMUD,,,,Unknown,Fled/Escaped,No,None,,,,
19851022OHSOG,Adult,,,Police Officer/SRO,Law Enforcement,No,None,"Accident, no charges",No Charges,N/A,
19851126WASPS,14,Female,,Student,Suicide,Yes,Suicide,,,,
19851127ALCHB,16,Male,,Student,Suicide,Yes,Suicide,N/A,,N/A,
19851203NHCOC,16,Male,White,Former Student,Apprehended/Killed by LE,Yes,Fatal,,,,
19851209PAARP,22,Male,,No Relation,Subdued by Students/Staff/Other,No,None,,,,
19851210CTPOP,13,Male,,Student,Surrendered,No,None,,,,
19860109NCNOD,17,Male,,Student,Fled/Apprehended,No,None,1st Degree Murder,,,
19860117CAVAL,14,Male,,Student,Fled/Apprehended,No,None,,,,
19860129MDLAB,14,Male,,Student,Fled/Apprehended,No,None,,,,
19860224LABOS,13,Male,,Student,Suicide,Yes,Suicide,,,,
19860306ILTHD,14,Male,,Student,Surrendered,No,None,"juvenile petition accusing him of attempted murder, aggravated battery and unlawful use of a weapon",,No,
19860423FLCHM,17,Male,,Student,Surrendered,No,None,,,,
19860429MOSES,16,Male,,Student,Surrendered,No,None,,,,
19860509NCPIF,17,Male,,Student,Apprehended/Killed by LE,No,None,,90 days in jail,No,
19860515GACAA,Teen,,,Student,Surrendered,No,None,,,,
19860516WYCOC,43,Male,White,No Relation,Suicide,Yes,Suicide,N/A,,N/A,
19860516WYCOC,47,Female,White,No Relation,Apprehended/Killed by LE,No,Wounded,,,,
19860517TNMAN,16,Male,,Student,Fled/Apprehended,No,None,,,,
19860912CAFAL,16,Male,,Student,Fled/Apprehended,No,None,,,,
19860918CABEB,18,Male,,Student,Surrendered,No,None,Investigation of murder,,,
19861003CAMOM,19,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
19861003CAMOM,18,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
19861003CAMOM,17,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,No,None,,,,
19861008TXSOD,19,Male,,Student,Fled/Apprehended,No,None,Murder,,N/A,
19861204MTFEL,14,Male,,Student,Fled/Apprehended,No,None,,,,
19870114CALOL,18,Male,,Student,Attempted Suicide,No,Wounded,,,,
19870123MIRED,15,Male,,Student,Fled/Apprehended,No,None,,,,
