incidentid,race,injury,gender,schoolaffiliation,age
19721111CAJEL,,Wounded,Female,Student,16
19721111CAJEL,,Wounded,Female,Student,14
19721111CAJEL,,Wounded,Male,Student,16
19721111CAJEL,,Wounded,Male,Student,16
19721111CAJEL,,Wounded,Male,Student,14
19721127MIPOP,,Wounded,Female,Student,15
19721127MIPOP,,Wounded,Female,Student,15
19721127MIPOP,,Wounded,Male,Student,16
19721127MIPOP,,Wounded,Male,Student,15
19721127MIPOP,,Wounded,Male,Student,15
19721129FLMIM,,Wounded,Male,Student,17
19730105NCSOS,White,Wounded,Female,Student,Teen
19730105NCSOS,White,Wounded,Female,Student,Teen
19730105NCSOS,White,Wounded,Male,Student,Teen
19730105NCSOS,White,Wounded,Male,Student,Teen
19730118CAJOL,,Wounded,Male,Other Staff,20
19730118CAJOL,,Wounded,Male,Other Staff,18
19730131NCCUB,,Wounded,Male,Student,Teen
19730212ALBOM,,Wounded,Male,Student,15
19730226VAARR,,Fatal,Male,Student,16
19730226VAARR,,Wounded,Female,Student,14
19730405CALOL,,Wounded,Male,Student,16
19730405CALOL,,Wounded,Male,Student,17
19730501OHRAY,,Wounded,Female,Student,16
19730501OHRAY,,Wounded,Male,Student,16
19730501OHRAY,,Wounded,Male,Student,17
19730928CAWIL,,Wounded,Female,Student,16
19730928CAWIL,,Wounded,Male,Student,Teen
19730928CAWIL,,Wounded,Male,Student,Teen
19731002ILELA,,Fatal,Female,Student,16
19731019MOBES,,Fatal,Male,Student,17
19731023MOSUS,,Wounded,Male,Student,18
19731023OHBAB,,Wounded,Male,Teacher,27
19731024MNCEM,,Wounded,Male,Student,16
19731031MONOS,,Wounded,Male,No Relation,17
19731108ILWOC,,Fatal,Male,Student,18
19731109CALOL,,Wounded,Female,No Relation,16
19731109CALOL,,Fatal,Female,No Relation,1
19731206CAFRL,,Wounded,Male,Student,17
19731213OHHUC,,Wounded,Male,Student,17
19740117ILBAC,,Wounded,Male,Security Guard,47
19740117ILBAC,,Wounded,Male,Principal/Vice-Principal,40
19740117ILBAC,,Minor Injuries,Male,Teacher,29
19740117ILBAC,,Fatal,Male,Principal/Vice-Principal,52
19740122CALOL,,Fatal,Male,Student,18
19740207CAJAO,,Fatal,Male,No Relation,26
19740207CAJAO,,Fatal,Male,No Relation,29
19740322INBRB,,Fatal,Male,Teacher,48
19740402CTSTB,,Wounded,Male,Student,5
19740402CTSTB,,Wounded,Female,Teacher,Adult
19740510TNCHR,,Fatal,Male,Student,20
19740519FLHIO,,None,,,
19740923CAJED,,Wounded,Male,Student,16
19740925CASAL,,Wounded,Male,Student,17
19741007LADEH,White,Wounded,Male,Student,Teen
19741007LADEH,White,Fatal,Male,Student,13
19741021MDDOB,,Wounded,Male,Security Guard,42
19741118SCCAC,,Wounded,Male,No Relation,18
19741121ARBOL,,Fatal,Male,Student,15
19741121ARBOL,,Wounded,Male,Student,15
19741125SCCAC,,None,,,
19741218CAMAL,,Fatal,Male,Student,16
19741218CAMAL,,Wounded,Male,Student,17
19741230NYOLO,,Wounded,Male,Police Officer/SRO,37
19741230NYOLO,,Fatal,Female,No Relation,25
19741230NYOLO,,Minor Injuries,Male,Police Officer/SRO,28
19741230NYOLO,,Fatal,Male,Other Staff,63
19741230NYOLO,,Wounded,Male,Police Officer/SRO,23
19741230NYOLO,,Minor Injuries,Male,Police Officer/SRO,36
19741230NYOLO,,Wounded,Male,Police Officer/SRO,43
19741230NYOLO,,Wounded,Male,Police Officer/SRO,55
19741230NYOLO,,Minor Injuries,Male,Student,12
19741230NYOLO,,Fatal,Male,No Relation,58
19741230NYOLO,,Minor Injuries,Male,Police Officer/SRO,40
19741230NYOLO,,Wounded,Male,No Relation,Child
19741230NYOLO,,Wounded,Male,No Relation,Adult
19741230NYOLO,,Wounded,Male,Police Officer/SRO,35
19750207NYBOM,,None,Male,Student,16
19750224NJSTP,,Wounded,Female,Teacher,25
19750224NJSTP,,Fatal,Male,No Relation,38
19750312TXJOH,,Wounded,Male,Student,15
19750312TXJOH,,Wounded,Male,Student,17
19750318MOSUS,,Fatal,Male,Student,18
19750321OHPAD,,Wounded,Male,Student,31
19750321VAFAR,,Wounded,Female,Student,8
19750515MOROS,,Wounded,Male,Other Staff,34
19750527MIPID,,Fatal,Male,Student,13
19750709ILDEC,,Wounded,Female,Teacher,30
19750711MOCES,,Wounded,Female,Student,17
19750711MOCES,,Wounded,Female,Student,18
19750911OKGRO,White,Fatal,Male,Student,15
19750911OKGRO,White,Wounded,Male,Student,Teen
19750911OKGRO,,Minor Injuries,Male,Student,Teen
19750911OKGRO,,Minor Injuries,Male,Student,Teen
19750911OKGRO,,Minor Injuries,Male,Student,Teen
19750911OKGRO,,Wounded,,Police Officer/SRO,Adult
19751001NMHEA,,Fatal,Male,Teacher,36
19751024GAMUA,,Wounded,Male,Principal/Vice-Principal,35
19751218CAORS,,Wounded,Male,Unknown,18
19760101AZCAP,,Wounded,Male,Security Guard,39
19760123OHCOC,,Wounded,Female,Other Staff,44
19760123OHCOC,,Fatal,Male,Teacher,56
19760206FLESP,White,Wounded,Male,Student,Teen
19760206FLESP,White,Wounded,Male,Student,Teen
19760206FLESP,White,Wounded,Male,Student,Teen
19760206FLESP,White,Wounded,Male,Student,Teen
19760212MIMUD,,Wounded,Male,Student,Teen
19760212MIMUD,,Wounded,Male,Student,Teen
19760212MIMUD,,Wounded,Male,Student,Teen
19760212MIMUD,,Wounded,Male,Student,Teen
19760212MIMUD,,Wounded,Male,Student,Teen
19760412TXODF,,Fatal,Male,Student,15
19760412TXODF,,Wounded,Male,Student,15
19760513MOMAS,,Wounded,Male,Student,9
19760514FLPAW,,Wounded,Male,Former Student,18
19760602MDMTC,,None,,,
19760920NCGUG,,Wounded,Female,Bus Driver,Adult
19761110MIBUD,,Fatal,Female,Teacher,Adult
19761210MOFRS,,Wounded,Male,Principal/Vice-Principal,39
19761210MOFRS,,Wounded,Female,Teacher,39
19770113ILOLB,,Wounded,Male,Student,15
19770209ILFEC,,Wounded,Male,Student,15
19770209ILFEC,,Wounded,Male,Student,Teen
19770209ILFEC,,Wounded,Male,Student,Teen
19770209ILFEC,,Fatal,Female,Student,Teen
19770228MOROS,,Wounded,Male,Student,16
19770228MOROS,,Wounded,Male,Student,16
19770228TXHOA,,Wounded,Male,Student,15
19770308ILCOE,,Wounded,Female,Student,16
19770308ILCOE,,Wounded,Male,Principal/Vice-Principal,Adult
19770321NYPAH,,None,,,
19770407TXWHW,,Fatal,Male,Principal/Vice-Principal,31
19770418TNPIN,,Fatal,Male,Parent,46
19770517FLSTC,,None,,,
19770622ILHOC,,Wounded,Male,Student,18
19770622ILHOC,,Wounded,Male,Student,18
19770711COSOC,,Wounded,Male,Student,15
19771129MOHAS,,None,,,
19771129MOVAS,,Wounded,Male,Student,16
19771209CAPES,,None,Female,Teacher,Adult
19771212FLWEW,,Fatal,Male,Principal/Vice-Principal,Adult
19771215MABLC,,Wounded,Male,Student,16
19771215MABLC,,Wounded,Male,Student,18
19780111KYCHH,,Wounded,Male,Student,Teen
19780209WVHAS,,Fatal,Male,Student,Teen
19780222MIEVL,,Fatal,Male,Student,15
19780222MIEVL,,Wounded,Male,Student,16
19780309CAMOS,,Wounded,Male,Student,9
19780329TNGAN,White,Wounded,Male,Parent,Adult
19780414MIFOD,,Wounded,Male,Student,16
19780426TXPAD,,Fatal,Male,Other Staff,56
19780428ILRIN,,Wounded,Male,Student,15
19780428ILRIN,,Fatal,Male,Student,16
19780428ILRIN,,Fatal,Male,Student,16
19780428ILRIN,,Wounded,Male,Student,16
19780518TXMUA,,Fatal,Male,Teacher,Adult
19780519PADOP,,Wounded,,Student,12
19780519PADOP,,Wounded,,Student,Child
19780519PADOP,,Wounded,,Student,Child
19780519PADOP,,Wounded,,Student,Child
19780519PADOP,,Wounded,,Student,Child
19780519PADOP,,Wounded,,Student,Child
19780519PADOP,,Wounded,,Student,Child
19780519PADOP,,Wounded,,Student,Child
19780607DEDOD,,Fatal,Male,Student,18
19780610MAWEW,,None,Male,Student,17
19781017ALLAL,,Wounded,Male,Principal/Vice-Principal,Adult
19781017MOUNU,,Wounded,Male,Student,Teen
19781017MOUNU,,Wounded,Male,Student,Teen
19781017MOUNU,,Wounded,Male,Student,Teen
19781129NYPAN,,Wounded,Male,Student,16
19781214CTWIN,,Fatal,Male,Teacher,56
19790129CAGRS,,Fatal,Male,Other Staff,53
19790129CAGRS,,Fatal,Male,Other Staff,56
19790129CAGRS,,Wounded,,Student,Child
19790129CAGRS,,Wounded,Male,Police Officer/SRO,Adult
19790129CAGRS,,Wounded,,Student,Child
19790129CAGRS,,Wounded,,Student,Child
19790129CAGRS,,Wounded,,Student,Child
19790129CAGRS,,Wounded,,Student,Child
19790129CAGRS,,Wounded,,Student,Child
19790129CAGRS,,Wounded,,Student,Child
19790129CAGRS,,Wounded,,Student,Child
19790314FLMCM,,Wounded,Male,Teacher,32
19790328CALOL,,Wounded,Female,Teacher,39
19790416WIWIM,,Wounded,Male,Former Student,17
19790425PAMAH,,Wounded,Male,Teacher,34
19790426TXAZA,,Fatal,Male,Student,13
19790614OHNEN,,Fatal,Male,,13
19790926LACAN,,Wounded,Male,Student,13
19790926LACAN,,Wounded,Male,Student,15
19790928MACHC,Black,Wounded,Male,Student,15
19791023MOOFS,,Wounded,Male,Student,17
19791023MOOFS,,Wounded,Male,Student,18
19791105INWAI,,Wounded,Male,Student,14
19791130TXUNL,,Wounded,Female,Student,11
19791203MDEAB,,Wounded,Male,Student,17
19791203MDEAB,,Wounded,Male,Student,Teen
19791203MDEAB,,Wounded,Male,Student,Teen
19791221MOBLS,,Wounded,Male,Student,16
19800107ARSTS,White,Fatal,Male,Student,19
19800129VALAW,,None,Male,Student,17
19800201DCLAW,,Wounded,Male,Student,9
19800207TXVAL,,Wounded,Male,Student,10
19800211INARI,,Wounded,Male,Student,15
19800215MSHUM,Black,Fatal,Female,Teacher,31
19800320TXJLD,,Fatal,Female,Teacher,49
19800331MDFRB,Black,Wounded,Male,Student,16
19800417VACAC,,Fatal,Male,Principal/Vice-Principal,33
19800417VACAC,,Fatal,Female,Other Staff,32
19800530NYCLB,,None,Male,Student,15
19800902CAWHL,,Wounded,Male,Student,Teen
19800902CAWHL,,Wounded,Male,Student,Teen
19800902CAWHL,,Wounded,Male,Student,Teen
19800902CAWHL,,Wounded,Male,Student,Teen
19800902CAWHL,,Wounded,Male,Student,Teen
19800902CAWHL,,Wounded,Male,Student,Teen
19800902CAWHL,,Wounded,Male,Student,Teen
19800902CAWHL,,Wounded,Male,Student,Teen
19800902CAWHL,,Wounded,Male,Student,Teen
19800902CAWHL,,Wounded,Male,Student,Teen
19800908FLFOJ,,Wounded,Male,Teacher,35
19800910DCSPW,,Fatal,Male,Student,16
19800911ALJOM,,Fatal,Female,Teacher,44
19800926CTBRB,,Wounded,Male,Student,17
19800926CTBRB,,Wounded,Male,Student,15
19801013ALCET,,Wounded,Male,Student,15
19801031ALHUH,,Wounded,Male,Student,17
19801117TXEAF,Black,Wounded,Male,Student,17
19801212ALPAB,,Wounded,Female,Student,14
19801212OHLOL,,Wounded,Male,Other Staff,48
19810121OHWIB,,Wounded,Male,Teacher,Adult
19810122MDFRB,,None,Male,Student,20
19810210ARLIL,,Wounded,Male,Student,16
19810210CAMAL,,Fatal,Male,Student,16
19810303INMAI,,Wounded,Male,Student,16
19810328FLDIF,,Fatal,Male,Student,19
19810402OHALC,,Wounded,Male,Student,14
19810407MSPOP,,Wounded,Female,Student,Teen
19810515LANEN,,Wounded,Female,Teacher,Adult
19810901PAWIP,,Wounded,Male,Gang Member,Adult
19810901PAWIP,,Wounded,Male,Gang Member,Adult
19810901PAWIP,,Wounded,Male,Gang Member,Adult
19810904NMHOS,,Wounded,Male,Student,15
19810904NMHOS,,Wounded,Male,Student,17
19810908FLSTW,,None,Male,Student,12
19810913MDABA,,Fatal,Male,Unknown,18
19811013CTHAH,,Wounded,Male,Student,Teen
19811209NYGEB,,Fatal,Male,Student,18
19811216TXUNH,,Wounded,Male,Student,18
19811223NYJAB,,Fatal,Male,Student,16
19820205TNHAM,,Fatal,Male,Former Teacher,69
19820208MADOD,Black,Wounded,Female,Student,17
19820209LAJON,,Fatal,Male,Student,
19820315ORSPS,,None,Male,Student,14
19820317OHLOL,,None,Male,Student,17
19820319NVVAL,,Fatal,Male,Teacher,55
19820319NVVAL,,Wounded,Male,Student,17
19820319NVVAL,,Wounded,Male,Student,17
19820407CODEL,,Fatal,Male,Student,13
19820415MDFOB,,Wounded,Male,Teacher,Adult
19820429GARUE,,None,Unknown,Student,Teen
19820430FLANA,,Wounded,Male,Student,Teen
19820527NVGAL,,Wounded,Female,Student,13
19820527NVGAL,,Wounded,Female,Student,14
19820910VALAB,,None,Female,Student,Teen
19820915ARSOP,,None,Male,Student,12
19821101NYELE,,Wounded,Male,Student,16
19821108MICOD,,Wounded,Male,Student,16
19821108MICOD,,Wounded,Male,Student,16
19821112MSWIJ,,Fatal,Female,Student,17
19821206ALHUH,,None,Male,Student,17
19821220MIFID,Black,Wounded,Male,Student,15
19830118TXJOH,,Fatal,Female,Student,Adult
19830120MOPAB,,Fatal,Male,Student,15
19830120MOPAB,,Wounded,Male,Student,15
19830128MDWIB,,None,Male,Student,Teen
19830130TXWEC,,Fatal,Male,,16
19830131FLDED,,None,Female,Student,Teen
19830201TNRIM,,None,Male,Student,17
19830202NMALA,,Wounded,Female,Student,16
19830331ILSAC,,None,Female,Teacher,24
19830421MOBES,,Wounded,Male,Student,Teen
19830516NYBRN,,Wounded,Male,Teacher,47
19830516NYBRN,,Wounded,Male,Student,15
19830516TXLAD,,Fatal,Female,Other Staff,Adult
19830518FLNOM,,Wounded,Male,Student,Teen
19830523OHMAM,Black,Wounded,Male,Student,17
19830526PAGRJ,,None,Male,Student,17
19830912CAMAC,,Wounded,Female,Student,Teen
19830912CAMAC,,Wounded,Female,Student,Teen
19830912CAMAC,,Wounded,Male,Student,Teen
19830912CAMAC,,Wounded,Male,Student,Teen
19830912CAMAC,,Wounded,Male,Student,Teen
19830912MIHED,,Fatal,Male,Student,Teen
19830921MDWAB,,None,Male,Student,Teen
19830930TXTET,,Wounded,Male,Student,17
19830930TXTET,,Wounded,Male,Student,17
19830930TXTET,,Wounded,Male,Student,15
19831007CACOL,,Wounded,Female,Student,16
19831022MDCAB,,Fatal,Male,Unknown,18
19831108MIHIH,Black,Fatal,Male,Student,17
19831117ILJAC,,Wounded,Male,Gang Member,17
19831117ILJAC,Hispanic,Fatal,Male,Gang Member,19
19831118MDHAB,,Fatal,Male,Student,14
19831202INCRC,,Wounded,Male,Student,Teen
19831216ILBOR,,Wounded,Female,Teacher,38
19840105MDLAB,,Wounded,Male,Student,17
19840206KYCEL,,Wounded,Male,Student,Teen
19840221TXSHH,,Wounded,Male,Teacher,30
19840224CA49L,,Wounded,Male,Other Staff,50
19840224CA49L,,Wounded,Female,Student,10
19840224CA49L,,Wounded,Female,Student,8
19840224CA49L,Hispanic,Fatal,Male,No Relation,24
19840224CA49L,,Minor Injuries,Female,Student,10
19840224CA49L,,Wounded,Female,Student,10
19840224CA49L,,Minor Injuries,Male,Student,11
19840224CA49L,,Minor Injuries,Male,Student,12
19840224CA49L,,Wounded,Female,Student,11
19840224CA49L,,Minor Injuries,Male,Student,9
19840224CA49L,,Wounded,Female,Student,10
19840224CA49L,,Fatal,Female,Student,10
19840224CA49L,,Wounded,Male,Student,9
19840224CA49L,,Wounded,,Student,11
19840405LACLC,,Wounded,Male,Student,Teen
19840420MIPRD,,Fatal,Male,Student,Teen
19840426NCROW,,None,Male,Student,11
19840515MTCMG,,None,Male,Student,18
19840517IASOP,,Fatal,Female,Student,Teen
19840517TXBOH,,Wounded,Female,Student,17
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840518CANON,,Wounded,,Student,Teen
19840522OHCLC,,Wounded,Male,Student,16
19840710MIMUD,,Wounded,Male,Student,Teen
19840831LABOS,,Wounded,Male,Student,Teen
19840928TXMIH,,Wounded,Male,Student,Child
19840928TXRIN,,Wounded,Male,Student,Teen
19841021PAWYE,,Wounded,Female,Student,17
19841022MICED,,Wounded,Male,Student,16
19841022MICED,,Wounded,Female,Student,16
19841024MISOD,,Wounded,Male,Student,15
19841024OHWEC,,Fatal,Male,Bus Driver,54
19841030SCPEP,,Wounded,Male,Teacher,38
19841030SCPEP,,Wounded,Male,Teacher,Adult
19841031LAEAG,Black,Fatal,Male,Student,16
19841109CTWIN,,Wounded,Male,Student,16
19841126MDMIR,,Wounded,Male,Student,16
19841207MOEDS,,None,,,
19850118TXARA,White,None,Male,Student,17
19850121KSGOG,,Wounded,Male,Student,14
19850121KSGOG,,Wounded,Female,Teacher,32
19850121KSGOG,,Wounded,Male,Teacher,39
19850121KSGOG,,Fatal,Male,Teacher,35
19850126MASTB,,Wounded,,Student,Teen
19850126MASTB,,Wounded,,Student,Teen
19850126MASTB,,Wounded,,Student,Teen
19850126MASTB,,Wounded,,Student,Teen
19850205CTAIH,,Wounded,Male,Student,17
19850416TXMAA,,None,Male,Student,17
19850516FLPAB,,None,Female,Student,15
19850724TXHIH,,Wounded,Male,Student,18
19850904VAEAR,,Wounded,Female,Student,14
19850909TXWHH,,Wounded,Male,Teacher,34
19850920TXLAC,,Wounded,Male,Principal/Vice-Principal,33
19850920TXLAC,,Wounded,Male,Student,15
19850925OHTRT,,Wounded,Male,Student,14
19850925OHTRT,,Wounded,Male,Student,13
19851008MDLAB,,Fatal,Male,Student,17
19851018MIMUD,,Wounded,Male,Student,17
19851018MIMUD,,Wounded,Female,Student,14
19851018MIMUD,,Wounded,Female,Student,13
19851018MIMUD,,Wounded,,Student,Teen
19851018MIMUD,,Wounded,,Student,Teen
19851018MIMUD,,Wounded,,Student,Teen
19851018MIMUD,,Wounded,,Student,Teen
19851022OHSOG,,Wounded,Female,Student,16
19851126WASPS,,Fatal,Male,Student,14
19851126WASPS,,Fatal,Male,Student,14
19851127ALCHB,,Wounded,Male,Student,Teen
19851203NHCOC,,None,Male,Student,Teen
19851209PAARP,,None,,,
19851210CTPOP,,Fatal,Male,Other Staff,36
19851210CTPOP,,Wounded,Male,Principal/Vice-Principal,Adult
19851210CTPOP,,Wounded,Female,Other Staff,53
19860109NCNOD,,Fatal,Female,Student,17
19860117CAVAL,,Fatal,Male,Student,16
19860129MDLAB,,Fatal,Male,Student,16
19860224LABOS,,None,Male,Student,13
19860306ILTHD,,Wounded,Female,Teacher,Adult
19860423FLCHM,,Wounded,Male,Student,15
19860429MOSES,,Fatal,Female,Student,Teen
19860509NCPIF,,Wounded,Male,Student,Teen
19860509NCPIF,,Wounded,Male,Student,Teen
19860509NCPIF,,Wounded,Male,Student,Teen
19860515GACAA,,Wounded,Female,Student,6
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860516WYCOC,,Wounded,,Student,Child
19860517TNMAN,,Wounded,Male,Teacher,33
19860912CAFAL,,Fatal,Male,Former Student,18
19860918CABEB,,Fatal,Female,Student,15
19861003CAMOM,,Wounded,Male,Student,14
19861003CAMOM,,Wounded,Female,Student,14
19861008TXSOD,,Fatal,Male,Student,16
19861204MTFEL,,Fatal,Female,Teacher,40
19861204MTFEL,,Wounded,Male,Teacher,36
19861204MTFEL,,Minor Injuries,Female,Student,Teen
19861204MTFEL,,Minor Injuries,Female,Student,Teen
19870114CALOL,,None,Male,Student,18
19870123MIRED,,Wounded,Male,Student,15
19870210ARDAD,,None,Male,Student,17
19870213AZORM,,Wounded,Male,Teacher,43
19870213AZORM,,Wounded,Male,Teacher,40
19870213AZORM,,Fatal,Male,Student,17
19870213AZORM,,Minor Injuries,Female,Teacher,25
19870224NYMON,,Wounded,Female,Parent,38
19870302MODED,,Fatal,Male,Student,13
19870306TXRIE,,Wounded,Female,Student,15
19870330CAPAS,,None,Female,No Relation,44
19870416MIMUD,,Fatal,Male,Student,17
19870416MIMUD,,Wounded,Male,Student,17
19870416MIMUD,,Minor Injuries,Female,Student,18
19870430ORGRP,,Fatal,Male,Student,17
19870503INPII,,Wounded,Male,Teacher,26
19870506ARMAJ,,None,Male,Student,15
19870506FLLET,,None,Male,Student,15
19870513ILOAO,,None,Male,Student,17
19870928ILILL,,Wounded,Male,Teacher,44
19871014ILDUC,Black,Fatal,Male,Student,15
19871030NCSOK,,Wounded,Male,Student,16
19871030NCSOK,,Wounded,Male,Student,17
19871104MISOD,,Wounded,Male,Student,16
